FishID,FrameIndex,Timestamp (s),FPS_Top,FPS_Front,Length (cm),Width (cm),Height (cm),Area (cm²),Perimeter (cm),BlurTop,BlurFront,Score,_SelectionMode,Weight (g)
fish15,3308,165.4,20.0,20.0,20.511113666352777,1.458576302779348,4.898982029048311,23.690858574050985,41.28098876175495,438.317715473015,264.69573236227035,715.0734478352854,within,9.61
fish15,3309,165.45,20.0,20.0,20.03411102294922,1.458576302779348,4.898982029048311,23.089567747298425,40.579579993502186,438.3247033202371,264.69758132060366,714.8022846408408,within,9.61
fish15,3310,165.5,20.0,20.0,20.03411102294922,1.458576302779348,4.898982029048311,23.109610774856847,40.59521640574871,438.3486182507928,264.6974804138184,714.8460986646111,within,9.61
fish15,3311,165.55,20.0,20.0,20.03411102294922,1.458576302779348,4.898982029048311,23.109610774856847,40.59521640574871,438.2826807507928,264.6998925185204,714.7825732693132,within,9.61
fish15,3312,165.6,20.0,20.0,20.03411102294922,1.458576302779348,4.898982029048311,23.12965380241526,40.60310598928636,438.21669984801497,264.70286126852034,714.7395611165354,within,9.61
fish15,3313,165.65,20.0,20.0,20.03411102294922,1.458576302779348,4.898982029048311,23.470385270908377,40.87029620519267,438.1689307507928,264.703570903937,714.8325016547299,within,9.61
fish15,3314,165.7,20.0,20.0,20.03411102294922,1.458576302779348,4.898982029048311,23.470385270908377,40.87029620519267,438.1889828341261,264.70437818220984,714.853361016336,within,9.61
fish15,3315,165.75,20.0,20.0,20.03411102294922,1.458576302779348,4.898982029048311,23.470385270908377,40.87029620519267,438.2312484591261,264.7052277898153,714.8964762489413,within,9.61
fish15,3318,165.9,20.0,20.0,20.03411102294922,1.458576302779348,4.898982029048311,23.470385270908377,40.678619344164666,440.2152762369039,263.54900383499995,715.7442800719039,within,9.61
fish15,3319,165.95,20.0,20.0,20.03411102294922,1.458576302779348,4.898982029048311,23.470385270908377,40.678619344164666,440.19394811190375,263.58356763708326,715.7575157489871,within,9.61
fish15,3320,166.0,20.0,20.0,20.03411102294922,1.458576302779348,4.898982029048311,23.51047132602521,40.70090080335148,440.2745991535705,263.6678124287499,715.9624115823203,within,9.61
fish15,3321,166.05,20.0,20.0,20.03411102294922,1.539608319600423,4.898982029048311,24.11176215277778,40.893190225349805,440.1444689452371,263.6583918558332,716.0028608010704,within,9.61
fish15,3322,166.1,20.0,20.0,20.03411102294922,1.539608319600423,4.898982029048311,24.11176215277778,40.893190225349805,440.1565956813482,263.6749413349999,716.0315370163482,within,9.61
fish15,3323,166.15,20.0,20.0,20.03411102294922,1.539608319600423,4.898982029048311,24.031590042544103,40.88975069050501,440.1616651257927,263.6769595641666,716.0186246899592,within,9.61
fish15,3324,166.2,20.0,20.0,20.511113666352777,1.539608319600423,4.898982029048311,24.272106373245133,41.471356703757785,440.0945904730149,263.6780598061456,716.0726502791605,within,9.61
fish15,3342,167.1,20.0,20.0,20.03411102294922,1.458576302779348,4.898982029048311,23.83115976695992,40.479549638818256,439.11919123143326,264.3704945337931,715.7496857652263,within,9.61
fish15,3347,167.35,20.0,20.0,20.03411102294922,1.539608319600423,4.572383227111756,24.95356931023137,42.3270522737922,443.6343873191363,262.8115526648522,719.2259399839884,within,9.61
fish15,3348,167.4,20.0,20.0,20.03411102294922,1.539608319600423,4.572383227111756,24.95356931023137,42.3270522737922,443.6847301937904,263.70954745651875,720.174277650309,within,9.61
fish15,3349,167.45,20.0,20.0,20.03411102294922,1.539608319600423,4.572383227111756,24.95356931023137,42.3270522737922,443.6528725549015,263.70947584193544,720.142348396837,within,9.61
fish15,3350,167.5,20.0,20.0,20.03411102294922,1.539608319600423,4.572383227111756,24.95356931023137,42.3270522737922,443.4248690826792,263.70947584193544,719.9143449246146,within,9.61
