FishID,Weight (g),FrameIndex,Timestamp (s),FPS_Top,FPS_Front,Length (cm),Width (cm),Height (cm),Area (cm²),Perimeter (cm),TopMaskPixels,FrontMaskPixels,BlurTop,BlurFront,Score,VisScore_Top_Raw,VisScore_Front_Raw,VisScore_Top_Enhanced,VisScore_Front_Enhanced
fish2,16.0,6105,305.25,20.0,20.0,81.62266357977259,11.58413699504307,3.7333333333333334,631.2286689419794,173.27157850904834,1601,632,28.003057781737525,10.218421223439112,70.24147900517664,87.8,64.3,66.2,49.4
fish2,16.0,6110,305.5,20.0,20.0,81.62266357977259,11.359519430988238,3.6,623.5874099355327,172.9998361157977,1604,616,27.96052753634983,10.2422428255611,70.28277036191093,87.8,64.3,66.2,49.4
fish2,16.0,6115,305.75,20.0,20.0,81.57864486635647,11.355275490969566,3.6,614.7516116799392,172.80189281604518,1576,624,27.966803504096138,10.243876940144434,69.73068044424058,87.8,64.3,66.2,49.4
fish2,16.0,6120,306.0,20.0,20.0,81.57864486635647,11.163374076461777,3.6,608.1532043989381,172.65683009163885,1602,627,27.915553626543208,10.24857094742457,70.20412457396777,87.7,64.3,66.2,49.4
fish2,16.0,6125,306.25,20.0,20.0,81.59003137302655,10.975556887793763,3.6,599.9241562381493,172.38196700404686,1589,630,27.89682536393154,10.284134109454687,69.96095947338623,87.7,64.4,66.2,49.4
fish2,16.0,6130,306.5,20.0,20.0,81.59003137302655,10.975556887793763,3.466666666666667,600.1137656427758,172.4292248045823,1594,647,27.915232372971527,10.280595697519518,70.07582807049104,87.7,64.4,66.2,49.5
fish2,16.0,6135,306.75,20.0,20.0,81.59003137302655,10.975556887793763,3.466666666666667,600.1137656427758,172.4292248045823,1560,622,27.90391728106841,10.277845046954686,69.3817623280231,87.7,64.4,66.2,49.5
fish2,16.0,6140,307.0,20.0,20.0,81.88547437542552,11.142452261883477,3.8666666666666667,595.2218430034129,173.02790490773873,1521,667,27.913031937191814,10.287740884738495,68.6207728219303,87.7,64.4,66.2,49.5
fish2,16.0,6145,307.25,20.0,20.0,81.88547437542552,11.177792181104236,3.7333333333333334,577.5502464922259,173.0581025411131,1366,632,27.857298295762803,10.26555988752577,65.44285818328856,87.7,64.4,66.2,49.5
fish2,16.0,6300,315.0,20.0,20.0,85.80342512641253,8.817253759902277,3.8666666666666667,480.96321577550236,177.66919643921972,1115,757,27.43007069481744,10.005504557196298,59.735575252013746,87.5,64.4,65.9,49.4
