FishID,View,FrameIndex,Method,MaskArea_px,MaskLength_px,MaskWidth_px,MaskPerimeter_px
fish01,front,167,ClassicCV,7907.5,110.85762023925781,94.04267883300781,387.46298348903656
fish01,front,168,ClassicCV,7934.5,111.17607879638672,94.04267883300781,387.46298348903656
fish01,front,169,ClassicCV,7979.5,111.17607879638672,94.99806213378906,380.1492750644684
fish01,front,170,ClassicCV,8012.5,111.17607879638672,94.99806213378906,384.1492751836777
fish01,front,171,ClassicCV,7922.5,106.0,98.0,382.9777030944824
fish01,front,172,ClassicCV,7945.5,106.99156188964844,97.54451751708984,386.14927530288696
fish01,front,173,ClassicCV,7955.5,106.99156188964844,96.66979217529297,387.6639941930771
fish01,front,174,ClassicCV,8023.0,113.25330352783203,93.35404205322266,382.39191591739655
fish01,front,175,ClassicCV,7827.5,113.67401123046875,93.35404205322266,380.14927530288696
fish01,front,176,ClassicCV,7894.0,110.0,97.0,393.2203426361084
fish01,front,177,ClassicCV,7801.0,110.0,94.0,389.9066345691681
fish01,front,178,ClassicCV,7793.0,109.99998474121094,93.99998474121094,395.07820761203766
fish01,front,179,ClassicCV,7712.5,112.61332702636719,91.57025146484375,385.32084834575653
fish01,front,180,ClassicCV,7648.5,112.69783020019531,91.23157501220703,395.806129693985
fish01,front,181,ClassicCV,7561.0,112.69783020019531,87.38553619384766,389.5634890794754
fish01,front,182,ClassicCV,7589.5,112.69783020019531,87.65386962890625,394.14927554130554
fish01,front,183,ClassicCV,7474.5,112.72798156738281,87.8833236694336,386.14927542209625
fish01,front,184,ClassicCV,7443.5,112.68450164794922,87.88510131835938,400.6345566511154
fish01,front,185,ClassicCV,7333.0,113.53921508789062,83.37052154541016,389.9066344499588
fish01,front,186,ClassicCV,7353.5,117.51225280761719,83.38797760009766,397.8061293363571
fish01,front,187,ClassicCV,7152.5,110.39091491699219,82.60713195800781,384.0071396827698
fish01,front,188,ClassicCV,7054.5,110.42938995361328,83.52882385253906,390.49242091178894
fish01,front,189,ClassicCV,7094.0,110.93296813964844,83.76453399658203,390.7350618839264
fish01,front,190,ClassicCV,7104.0,110.93296813964844,83.76453399658203,391.9066346883774
fish01,front,191,ClassicCV,7049.0,110.36213684082031,82.3970718383789,383.90663516521454
fish01,front,192,ClassicCV,7081.0,110.44834899902344,82.78237915039062,384.7350618839264
fish01,front,193,ClassicCV,7017.0,110.44834899902344,82.86320495605469,381.0782079696655
fish01,front,3417,ClassicCV,4963.0,105.31620025634766,63.97073745727539,292.5929263830185
fish01,front,3418,ClassicCV,4999.5,105.79930114746094,65.1784896850586,292.69343185424805
fish01,front,3419,ClassicCV,5002.5,106.04199981689453,65.12445831298828,295.8650047779083
fish01,front,3420,ClassicCV,4982.0,105.34748077392578,63.687339782714844,296.93607211112976
fish01,front,3421,ClassicCV,4942.0,104.68811798095703,64.53585052490234,293.0782073736191
fish01,front,3422,ClassicCV,4948.0,104.41500854492188,65.20238494873047,295.42135322093964
fish01,front,3423,ClassicCV,4962.5,105.77318572998047,63.49899673461914,294.83556723594666
fish01,front,3424,ClassicCV,4985.5,105.52347564697266,64.18317413330078,294.8355669975281
fish01,front,3425,ClassicCV,4949.5,106.03630065917969,63.41128921508789,292.00713980197906
fish01,front,3426,ClassicCV,4858.0,105.2469482421875,63.41128921508789,292.10764491558075
fish01,front,3427,ClassicCV,4912.5,105.68870544433594,63.864356994628906,292.2081506252289
fish01,front,3428,ClassicCV,4925.5,105.7999496459961,63.11457061767578,290.6934312582016
fish01,front,3429,ClassicCV,4894.5,105.84579467773438,63.044090270996094,289.86500453948975
fish01,front,3430,ClassicCV,4889.5,103.23758697509766,63.639610290527344,289.5218586921692
fish01,front,3431,ClassicCV,4885.0,103.88990783691406,63.64528274536133,289.7644993066788
fish01,front,3432,ClassicCV,4841.5,104.34355163574219,62.47597122192383,292.0071394443512
fish01,front,3433,ClassicCV,4799.0,106.38712310791016,62.095703125,290.9360718727112
fish01,front,3434,ClassicCV,4855.5,106.11331176757812,62.934226989746094,292.00714004039764
fish01,front,3435,ClassicCV,4758.0,104.18895721435547,62.56169128417969,290.5929263830185
fish01,front,3436,ClassicCV,4785.5,103.97294616699219,62.28411102294922,288.3502860069275
fish01,front,3437,ClassicCV,4699.5,104.00691223144531,62.41297149658203,287.17871260643005
fish01,front,3438,ClassicCV,4692.0,102.91340637207031,62.121070861816406,284.5929261445999
fish01,front,3439,ClassicCV,4692.0,102.22149658203125,62.632476806640625,286.5929263830185
fish01,front,3440,ClassicCV,4707.0,102.53048706054688,61.51828384399414,287.07820785045624
fish01,front,3441,ClassicCV,4752.0,101.40287780761719,62.740909576416016,287.90663480758667
fish01,front,3442,ClassicCV,4728.0,100.35940551757812,62.587562561035156,288.24978017807007
fish01,front,3443,ClassicCV,4723.0,101.23245239257812,61.03843307495117,285.07820749282837
fish01,front,3444,ClassicCV,4700.5,100.40916442871094,61.51828384399414,283.17871260643005
fish01,front,3445,ClassicCV,4627.5,99.70205688476562,61.51828384399414,277.1787130832672
fish01,front,3446,ClassicCV,4654.5,99.70205688476562,61.51828384399414,282.0071396827698
fish01,front,3447,ClassicCV,4573.0,102.0,58.60000228881836,281.4213536977768
fish01,front,3448,ClassicCV,4573.0,102.0,58.60000228881836,281.4213536977768
fish01,front,3449,ClassicCV,4596.0,101.90310668945312,58.98093032836914,280.2497808933258
fish01,front,3450,ClassicCV,4578.0,101.71669006347656,58.82130432128906,281.07820761203766
fish01,front,3451,ClassicCV,4568.5,101.80001068115234,60.00000762939453,283.1787129640579
fish01,front,3452,ClassicCV,4578.5,101.91082000732422,60.22942352294922,285.17871284484863
fish01,front,3453,ClassicCV,4539.5,100.67808532714844,60.46232223510742,284.3502858877182
fish01,front,3454,ClassicCV,4562.5,100.51976013183594,61.68816375732422,282.35028553009033
fish01,front,3455,ClassicCV,4551.0,101.7886962890625,60.44664001464844,283.2792184352875
fish01,front,3456,ClassicCV,4424.0,99.05264282226562,59.49271774291992,280.93607199192047
fish01,front,3457,ClassicCV,4317.5,99.51580810546875,58.54232406616211,274.69343185424805
fish01,front,3458,ClassicCV,4305.5,98.1597671508789,58.54706573486328,272.35028624534607
fish01,front,3459,ClassicCV,4273.0,97.67316436767578,58.18352508544922,267.7644999027252
