FishID,FrameIndex,Timestamp (s),FPS_Top,FPS_Front,Length (cm),Width (cm),Height (cm),Area (cm²),Perimeter (cm),TopMaskPixels,FrontMaskPixels,BlurTop,BlurFront,Score
fish01,2665,133.25,20.0,20.0,12.443142991942976,3.8350524064318847,8.0,35.3811149032992,27.5531289698652,961,3319,27.935494023000462,10.302327454365626,57.45782147736609
fish01,2669,133.45,20.0,20.0,13.20126385631785,4.055428259037985,7.6,37.97876374668183,28.970880396631035,1031,3065,27.888358575590157,10.295032531568738,58.8033911071589
fish01,2671,133.55,20.0,20.0,12.690802483443827,4.84254281830673,7.466666666666667,41.01251422070534,28.73825525578905,1106,2872,27.933944425436895,10.306858694193096,60.36080311962999
fish01,2673,133.65,20.0,20.0,12.774645741652686,4.6736506455525335,7.2,39.950701554797114,28.605343692898526,1083,2854,27.90941300438775,10.30777991926405,59.877192923651805
fish01,2676,133.8,20.0,20.0,12.94247785797302,5.015983873732784,7.2,42.41562381494121,29.33250774762109,1146,2792,27.93475593050733,10.309576792017618,61.16433272252495
fish01,2677,133.85,20.0,20.0,13.24295594271866,4.120030787258471,7.2,37.33409177095183,29.126000750024804,1008,2818,27.903497417233314,10.290693331813813,58.35419074904712
fish01,2679,133.95,20.0,20.0,13.125164135787026,3.8947078808182503,7.066666666666666,37.03071672354948,28.84663163330372,1004,2768,27.883406147351682,10.324355440097385,58.28776158744907
fish01,2683,134.15,20.0,20.0,13.289455797332465,4.1389298031896775,7.066666666666666,40.216154721274165,29.400434977189345,1088,2665,27.88789836033951,10.298385394244727,59.94628375458424
fish01,2685,134.25,20.0,20.0,12.94367980002627,4.54405744651402,6.8,39.9886234357224,28.894608263715526,1079,2559,27.900272860585915,10.308395169311096,59.78866802989701
fish01,2688,134.4,20.0,20.0,13.319902519825938,4.907332917830335,6.8,43.00341296928327,29.59717496524667,1157,2488,27.929105408393006,10.326608048502603,61.395713456895606
fish01,2689,134.45,20.0,20.0,13.494473831638901,4.681756697273824,6.8,42.68107698141827,29.867561993332384,1151,2414,27.937686119079594,10.324684221384258,61.28237034046386
fish01,2695,134.75,20.0,20.0,12.80598092069479,4.2686608021360275,6.4,39.24914675767918,28.670771999138136,1062,2266,27.91583297458225,10.325686829365626,59.48151980394788
fish01,2697,134.85,20.0,20.0,12.727282687616214,5.207351174312092,7.466666666666667,44.36860068259385,29.1196623256927,1196,2573,27.996986306348255,10.267311100260416,62.18429740660867
fish01,2698,134.9,20.0,20.0,13.081378679357751,5.232551100314777,7.466666666666667,44.91846795601061,29.710646155425202,1210,2573,28.003292697463802,10.24166005859375,62.444952756057546
fish01,2700,135.0,20.0,20.0,13.150336576093808,4.615681084324294,7.466666666666667,40.841865756541516,29.45775662813664,1104,2573,27.949646907382537,10.240706284575996,60.270353191958534
fish01,2704,135.2,20.0,20.0,13.081378679357751,4.819455576605304,7.466666666666667,43.11717861205915,29.55607382130776,1160,2117,27.957550542459373,10.243541573037042,61.40109211549641
fish01,2705,135.25,20.0,20.0,12.799944467589292,4.963675251575483,7.466666666666667,43.667045885475915,29.289111362360163,1179,2119,27.968127852809577,10.24196605614556,61.79009390895514
fish01,2708,135.4,20.0,20.0,12.668282041363309,4.54405744651402,7.466666666666667,40.216154721274165,28.66860664165782,1089,2310,27.939482123462067,10.253815018335976,59.97329714179804
fish01,2709,135.45,20.0,20.0,13.036741909212145,4.281025279580584,7.466666666666667,39.571482745544174,29.098790468223847,1078,2286,27.919573279486762,10.257861236476902,59.73743451596367
fish01,2712,135.6,20.0,20.0,12.870374706197746,4.741717114313377,7.6,40.82290481607887,28.9397586031605,1107,2289,27.824230240715877,10.27442049454583,60.23865073526171
fish01,2716,135.8,20.0,20.0,12.598762545002865,4.600822094262427,7.733333333333333,39.45771710276829,28.298429149957784,1069,2081,27.843497009955517,10.327408764478895,59.55090577443441
fish01,2718,135.9,20.0,20.0,12.669795983207882,4.994529802367617,7.333333333333333,41.41069397042092,29.110568738917618,1127,1744,27.879694703655478,10.39425771484375,60.81395241849923
fish01,2720,136.0,20.0,20.0,12.89669263145268,4.781302830694419,8.133333333333333,42.18809252938945,29.328080461296476,1140,1466,27.83701658978874,10.38335927734375,61.020375867132486
fish01,2721,136.05,20.0,20.0,13.08283913552381,4.696841515756078,7.866666666666666,41.78991277967386,29.452262855025324,1131,1391,27.8626372826847,10.390462187661065,60.873099470345764
fish01,3007,150.35,20.0,20.0,12.484628564196196,5.154204238429766,10.4,45.221843003412964,29.96987419990295,1227,6233,28.072307332356772,10.490195297198825,63.102502629555595
fish01,3011,150.55,20.0,20.0,11.704391371756236,5.507949230406062,9.6,42.75692074326886,28.322584874873147,1158,5572,28.142567563356003,10.547825511296592,61.8503930746526
fish01,3012,150.6,20.0,20.0,11.5666932352814,5.645647366880897,10.133333333333333,44.3875616230565,28.516575295126604,1195,5731,28.127216083272295,10.552161453204684,62.57937753647698
fish01,3065,153.25,20.0,20.0,15.578833008986292,5.257856140532874,8.8,57.830868411073176,34.646295863245,1562,5940,28.051934529320985,10.400983005099828,69.69291753442081
fish01,3067,153.35,20.0,20.0,15.96830383421095,5.257856140532874,9.066666666666666,58.89268107698141,35.34425262857369,1589,6034,28.030341751192815,10.373551319874657,70.18389307106747
fish01,3069,153.45,20.0,20.0,15.96830383421095,5.063120727920545,9.333333333333334,57.75502464922259,35.59498274123511,1560,6124,28.022294948832194,10.368356043232808,69.59065099206501
fish01,3070,153.5,20.0,20.0,16.163039246823278,4.868385315308217,9.6,55.99165718619643,35.7799185746874,1511,6319,27.973466559045114,10.374547449482812,68.56801400852792
fish01,3075,153.75,20.0,20.0,14.101987939601178,4.926459619323544,10.133333333333333,48.558968524838825,31.752449466592363,1306,6378,28.10902634277344,10.391243407524955,64.62026975029839
fish01,3077,153.85,20.0,20.0,13.627709628241139,5.222192335814454,10.266666666666666,47.89533560864618,31.031101422265593,1289,6402,28.124121657684707,10.389534421274396,64.2936560789591
fish01,3082,154.1,20.0,20.0,13.631478882863005,5.063120727920545,10.4,46.492226014410306,30.349967156399803,1261,6465,28.095337248550234,10.353886632919309,63.66922388146954
fish01,3104,155.2,20.0,20.0,13.436743470250677,4.673649902695888,10.4,44.463405384907084,29.851538807620592,1204,5712,27.946112773961204,10.324866476853689,62.35097925081489
fish01,3105,155.25,20.0,20.0,13.24200805763835,4.673649902695888,10.4,43.287827076222975,29.352938766099076,1173,5766,27.951538205728415,10.327773408847383,61.7393116145758
fish01,3107,155.35,20.0,20.0,13.24200805763835,4.868385315308217,10.666666666666666,44.823663253697376,29.511650367090912,1210,5716,27.970179396942516,10.335810507445863,62.505989904388386
fish01,3111,155.55,20.0,20.0,13.24200805763835,5.4525915531452025,10.666666666666666,46.15092908608266,29.684216383816505,1244,5608,27.98430701585934,10.33925127343072,63.20355828929006
fish01,3112,155.6,20.0,20.0,12.988325484451627,5.478711878532297,10.533333333333333,46.5301478953356,29.745484832124063,1255,5476,27.96763169802442,10.35136715660095,63.41899885462537
fish01,3133,156.65,20.0,20.0,12.870376191911038,4.988040206708051,10.533333333333333,45.3166477057262,29.512811312743008,1220,5002,27.765231823881177,10.49082353328069,62.656055357161875
fish01,3387,169.35,20.0,20.0,6.557461557032548,6.083728873879004,8.933333333333334,26.905574516496014,20.301844319739235,734,3481,27.731599523454836,10.457047509924568,52.8686470333794
fish01,3391,169.55,20.0,20.0,5.7833466176407,5.507949230406062,9.066666666666666,22.3359878649981,18.48446584775581,611,3671,27.769902412395705,10.474791663233438,50.46469407562914
fish01,3393,169.65,20.0,20.0,15.11446440528406,5.497531037374058,9.066666666666666,61.26279863481228,34.58699403505068,995,3747,27.760614341905384,10.468313801701859,58.12892814360724
fish01,3394,169.7,20.0,20.0,16.417694962216277,5.362714070400783,9.066666666666666,65.22563519150549,36.66278155205962,1098,3764,27.751651631503627,10.467864583333334,60.17951621483696
fish01,3397,169.85,20.0,20.0,6.009094066654117,4.528592656857329,9.066666666666666,19.946909366704585,16.9363760670927,550,3972,27.876950347222227,10.407845027669273,49.2847953748915
