FishID,Weight (g),FrameIndex,Timestamp (s),FPS_Top,FPS_Front,Length (cm),Width (cm),Height (cm),Area (cm²),Perimeter (cm),TopMaskPixels,FrontMaskPixels,BlurTop,BlurFront,Score,_Truth_Length (cm),Width_truth (cm),Area_truth (cm²),Perimeter_truth (cm),_AbsError_Length (cm),_PerFishScale,_PerFishScale_Width,_PerFishScale_Perimeter,_PerFishScale_Area,_CompositeRelError,_SelectionMode,_relL,_relW,_relA,_relP,_CompositeRelErrorRecalc
fish11,13.0,6150,307.5,20.0,20.0,28.620886656370693,3.403978588585306,1.1757858355751034,57.28145476508421,66.39681982312402,9889,109,431.3850831252864,253.2965004801325,882.4615836054189,26.712832980685764,2.130735185411241,38.62075617283951,55.5714596774843,1.908053675684929,0.9798215296459196,0.1361832555569262,0.7547075664571832,0.1136621013158029,0.3367419109338004,fill,0.0714283534458705,0.5975606034441693,0.4831779706418086,0.19480071620335349,0.33674191093380046
fish11,13.0,6151,307.55,20.0,20.0,28.048468806784573,3.403978588585306,1.1757858355751034,55.90554118665615,65.73360745274631,9668,109,431.2114284429857,253.2967023030493,877.868130746035,26.712832980685764,2.130735185411241,38.62075617283951,55.5714596774843,1.3356358260988088,0.9798215296459196,0.1361832555569262,0.7547075664571832,0.1136621013158029,0.3194945984463682,within,0.04999978201729919,0.5975606034441693,0.44755169827493846,0.182866310049066,0.31949459844636824
fish11,13.0,6152,307.6,20.0,20.0,27.47605095719845,3.403978588585306,1.1757858355751034,54.82136266771434,65.27790004405112,9500,109,430.9955604552469,253.3112921467993,874.3068526020462,26.712832980685764,2.130735185411241,38.62075617283951,55.5714596774843,0.7632179765126814,0.9798215296459196,0.1361832555569262,0.7547075664571832,0.1136621013158029,0.3050692513502432,within,0.02857121058872775,0.5975606034441693,0.4194792671166829,0.17466592425139318,0.3050692513502433
fish11,13.0,6153,307.65,20.0,20.0,26.90363310761232,3.377994013153462,1.1757858355751034,53.40613727275976,64.52892751285663,9212,109,430.7987156492445,253.3112921467993,868.3500077960439,26.712832980685764,2.130735185411241,38.62075617283951,55.5714596774843,0.1908001269265575,0.9798215296459196,0.1361832555569262,0.7547075664571832,0.1136621013158029,0.2841328747248076,within,0.007142639160156043,0.5853654814929499,0.38283510125361636,0.16118827699250798,0.2841328747248075
fish11,13.0,6154,307.7,20.0,20.0,28.827804668710403,3.0165920879852424,1.1757858355751034,50.66258628780394,62.69469011384105,8757,109,430.8286637030519,253.311103344716,859.2797670477678,26.712832980685764,2.130735185411241,38.62075617283951,55.5714596774843,2.1149716880246388,0.9798215296459196,0.1361832555569262,0.7547075664571832,0.1136621013158029,0.2337261077551823,fill,0.07917436872209814,0.415751759598895,0.311796849887496,0.12818145281223997,0.23372610775518227
fish11,13.0,6155,307.75,20.0,20.0,25.94960335830212,3.066179504464485,1.1757858355751034,48.761135793705606,61.46778874228976,8597,109,430.64192316623263,253.31128563638265,855.8932088026152,26.712832980685764,2.130735185411241,38.62075617283951,55.5714596774843,0.7632296223836477,0.9798215296459196,0.1361832555569262,0.7547075664571832,0.1136621013158029,0.2090655869626459,within,0.02857164655412938,0.4390242041611093,0.26256294867673846,0.1061035484586067,0.20906558696264596
fish11,13.0,6156,307.8,20.0,20.0,25.567991458578035,3.066179504464485,1.1757858355751034,48.55423149619763,61.346436984666,8379,109,423.907591705247,253.31111636554928,844.7987080707964,26.712832980685764,2.130735185411241,38.62075617283951,55.5714596774843,1.144841522107729,0.9798215296459196,0.1361832555569262,0.7547075664571832,0.1136621013158029,0.2107517553618458,within,0.04285736083984376,0.4390242041611093,0.2572056144862318,0.1039198419601983,0.21075175536184582
fish14,12.32,373,18.65,20.0,20.0,20.526968546659447,1.979598239961751,30.34875472094116,25.424797243380485,44.313462876421134,1472,2067,420.1155635703004,260.50526341729693,710.0608269875974,19.23723999023437,1.509253692626953,20.4362,39.91864342451096,1.2897285564250751,1.3006609166117644,0.1821431329149326,0.836008531162469,0.1540579320018248,0.1832210321899094,within,0.06704332622973957,0.31164048140649775,0.24410591222343125,0.11009440889996912,0.18322103218990943
fish14,12.32,375,18.75,20.0,20.0,20.341335520505204,1.963247414165863,10.058444421797644,25.340789166968925,44.897018216516855,1265,1598,419.8603463269645,260.8990947087606,706.0594410357251,19.23723999023437,1.509253692626953,20.4362,39.91864342451096,1.1040955302708326,1.3006609166117644,0.1821431329149326,0.836008531162469,0.1540579320018248,0.1807271526222447,within,0.05739365578592967,0.3008067654608183,0.239995163825414,0.1247130254168171,0.18072715262224476
fish15,9.61,3822,191.1,20.0,20.0,19.894231007362567,0.9743058157994944,0.868554559534659,14.109437003968257,38.161094323451984,915,90,445.8602071747203,264.6951073654069,728.8553145401272,20.03411102294922,1.539608319600423,24.11176215277778,41.40093262990316,0.1398800155866517,0.930594170929992,0.3135945272968448,0.8886264027994805,0.2586601508122255,0.2168105011951244,within,0.0069820924635197535,0.3671729339236375,0.41483177734719034,0.07825520104614983,0.21681050119512435
