FishID,View,FrameIndex,Method,MaskArea_px,MaskLength_px,MaskWidth_px,MaskPerimeter_px,Bbox_w_px,Bbox_h_px
fish01,top,3454,Full_SAM,619.5,67.0,14.0,149.35533845424652,30.236267,81.21655
fish01,top,3455,Full_SAM,623.5,64.0,14.0,143.35533845424652,30.56958,80.80316
fish01,top,3456,Full_SAM,641.0,67.0,13.0,147.11269783973694,31.183472,80.7605
fish01,top,3457,Full_SAM,675.0,76.0,14.0,165.94112491607666,31.73413,80.05826
fish01,top,3458,Full_SAM,638.5,67.0,14.0,148.5269113779068,32.023743,80.78638
fish01,top,3459,Full_SAM,643.5,68.23499298095703,14.386895179748535,151.35533845424652,31.944092,80.174286
fish01,top,3460,Full_SAM,650.5,69.23326873779297,14.44561767578125,153.35533845424652,32.222656,80.54291
fish01,top,3461,Full_SAM,650.0,70.23794555664062,14.596519470214844,154.76955199241638,32.88324,81.44089
fish01,top,3462,Full_SAM,644.5,70.24958801269531,13.750680923461914,155.35533845424652,32.43927,81.5509
fish01,top,3463,Full_SAM,635.0,69.24627685546875,14.700698852539062,153.5979790687561,32.329285,81.614746
fish01,top,3464,Full_SAM,630.0,66.25292205810547,13.835952758789062,146.76955199241638,32.587036,81.87927
fish01,top,3465,Full_SAM,631.0,64.44329833984375,14.532959938049316,143.5979790687561,32.229492,80.928345
fish01,top,3466,Full_SAM,716.0,83.38411712646484,14.627046585083008,182.42640614509583,32.515137,81.02319
fish01,top,3467,Full_SAM,751.0,84.379150390625,14.826054573059082,186.08326029777527,32.891968,82.19629
fish01,top,3468,Full_SAM,745.0,84.33544158935547,14.534140586853027,185.25483322143555,33.172913,81.94443
fish11,front,2101,FastSAM,2955.0,67.0,47.0,219.79898953437805,51.631348,61.502686
fish11,front,2102,FastSAM,2955.0,67.0,47.0,219.79898953437805,52.35376,61.978455
fish11,front,2103,FastSAM,2955.0,67.0,47.0,219.79898953437805,53.230957,62.487915
fish11,front,2104,FastSAM,2955.0,67.0,47.0,219.79898953437805,52.990845,62.755432
fish11,front,2105,FastSAM,2955.0,67.0,47.0,219.79898953437805,52.821167,62.648743
fish11,front,2106,FastSAM,2955.0,67.0,47.0,219.79898953437805,50.28894,62.74286
fish11,front,2107,FastSAM,2955.0,67.0,47.0,219.79898953437805,50.031128,63.363342
fish11,front,2108,FastSAM,2955.0,67.0,47.0,219.79898953437805,50.35254,63.35309
fish11,front,2109,FastSAM,2966.0,67.0,47.0,220.62741661071777,50.13977,63.340576
fish11,front,2110,FastSAM,2966.0,67.0,47.0,220.62741661071777,51.146606,63.465927
fish11,front,2111,FastSAM,2965.0,67.0,47.0,220.62741661071777,50.713074,63.289978
fish11,front,2112,FastSAM,2967.0,67.0,47.0,220.62741661071777,51.645508,63.503647
fish11,front,2113,FastSAM,2966.0,67.0,47.0,220.62741661071777,52.62329,64.1933
fish11,front,2114,FastSAM,2921.5,67.0,47.0,216.87005722522736,52.425903,63.856445
fish11,front,2115,FastSAM,2925.0,67.0,47.0,217.4558436870575,51.472168,63.894165
