FishID,Weight (g),FrameIndex,Timestamp (s),FPS_Top,FPS_Front,Length (cm),Width (cm),Height (cm),Area (cm²),Perimeter (cm),TopMaskPixels,FrontMaskPixels,BlurTop,BlurFront,Score,Volume (cm³),Surface Area (cm²),Aspect Ratio,Elongation,Compactness,Condition Factor (K),Rectangularity,Equivalent Diameter (cm)
fish7,18.32,4501,225.05,20.0,20.0,10.176872663120296,3.6345973796858204,3.2711376417172384,36.98883471477328,27.622940085612232,1027,731,433.9575297510783,261.7648925704003,716.2624223214785,63.35313207378146,90.45216665957783,2.8,0.6428571428571428,0.6091730907237827,1.738130769712693,1.0,6.862626834712938
fish7,18.32,4504,225.2,20.0,20.0,10.176872663120296,3.6345973796858204,3.2711376417172384,36.98883471477328,27.622940085612232,1041,731,443.3759672510783,261.3927506433169,725.5887178943952,63.35313207378146,90.45216665957783,2.8,0.6428571428571428,0.6091730907237827,1.738130769712693,1.0,6.862626834712938
fish7,18.32,4505,225.25,20.0,20.0,10.176872663120296,3.6345973796858204,3.2711376417172384,36.98883471477328,27.622940085612232,1062,731,443.38509919552274,261.3922363204003,726.017335515923,63.35313207378146,90.45216665957783,2.8,0.6428571428571428,0.6091730907237827,1.738130769712693,1.0,6.862626834712938
fish7,18.32,4510,225.5,20.0,20.0,10.176872663120296,3.6345973796858204,3.2711376417172384,36.98883471477328,27.622940085612232,1064,749,443.2870957233005,261.3962988204003,725.9633945437008,63.35313207378146,90.45216665957783,2.8,0.6428571428571428,0.6091730907237827,1.738130769712693,1.0,6.862626834712938
fish7,18.32,4511,225.55,20.0,20.0,10.176872663120296,3.6345973796858204,3.2711376417172384,36.98883471477328,27.622940085612232,1057,795,443.2846912094117,261.3986230391503,725.823314248562,63.35313207378146,90.45216665957783,2.8,0.6428571428571428,0.6091730907237827,1.738130769712693,1.0,6.862626834712938
fish7,18.32,4513,225.65,20.0,20.0,10.176872663120296,3.6345973796858204,3.2711376417172384,36.98883471477328,27.622940085612232,1060,795,443.283276278856,261.39981444540024,725.8830907242564,63.35313207378146,90.45216665957783,2.8,0.6428571428571428,0.6091730907237827,1.738130769712693,1.0,6.862626834712938
fish7,18.32,4517,225.85,20.0,20.0,10.176872663120296,3.6345973796858204,3.2711376417172384,36.98883471477328,27.622940085612232,1071,768,443.30916169552273,261.3011555912336,726.0303172867563,63.35313207378146,90.45216665957783,2.8,0.6428571428571428,0.6091730907237827,1.738130769712693,1.0,6.862626834712938
fish7,18.32,4539,226.95,20.0,20.0,10.436977974868443,3.727492133881587,3.3547429204934285,38.90375330281749,28.328940217500058,1041,1115,443.26511655663376,259.1650032450252,723.250119801659,68.3359710343674,95.13489150346479,2.8,0.6428571428571428,0.6091730907237826,1.611391870904012,1.0,7.038025088316212
fish7,18.32,4543,227.15,20.0,20.0,10.959709021821856,3.9141817935078063,3.5227636141570255,42.89829351535836,29.747781630659325,1023,1198,443.28006447330034,263.49383137002525,727.2338958433256,79.12653364153675,104.90310452826775,2.8,0.6428571428571428,0.6091730907237827,1.3916447890155932,1.0,7.390521206613933
fish7,18.32,4715,235.75,20.0,20.0,11.112815787990943,3.968862781425337,3.5719765032828033,44.10524097779313,30.16335713883256,1073,1539,435.50432275021393,258.2112792404069,715.1756019906209,82.48926139926128,107.85456309308437,2.8,0.6428571428571428,0.6091730907237827,1.3349134947654866,1.0,7.4937665391310375
fish7,18.32,4738,236.9,20.0,20.0,10.124203577204085,3.615786991858602,3.254208292672742,36.60696359738286,27.479981138125375,1003,1570,435.4096179029676,256.48197585499025,711.9515937579579,62.37458614956394,89.51834243345579,2.8,0.6428571428571428,0.6091730907237826,1.765398939097914,1.0,6.827110198676189
fish7,18.32,4741,237.05,20.0,20.0,10.437818116020816,3.7277921842931487,3.355012965863834,38.910016793975835,28.33122060062793,995,1633,435.35375852796767,256.4845735112403,711.7383320392079,68.35247480102517,95.15020818890498,2.8,0.6428571428571428,0.6091730907237826,1.6110027988841755,1.0,7.038591625346602
fish7,18.32,4744,237.2,20.0,20.0,10.334086564828123,3.69074520172433,3.321670681551897,38.14048040334326,28.049663533104905,990,1723,435.3861890835232,259.7741828862403,714.9603719697634,66.33478937510372,93.26839075959549,2.8,0.6428571428571428,0.6091730907237828,1.6600041886383008,1.0,6.968641754655865
fish7,18.32,4745,237.25,20.0,20.0,10.698763568921336,3.8209869889004775,3.43888829001043,40.879836394170866,29.039501115643628,992,1692,432.2003383890787,259.7766047612403,711.816943150319,73.60813930877273,99.96718747846828,2.8,0.6428571428571428,0.6091730907237826,1.495976250033912,1.0,7.214556415980268
fish7,18.32,4750,237.5,20.0,20.0,10.437818116020816,3.7277921842931487,3.355012965863834,38.910016793975835,28.33122060062793,981,1937,434.6599478768055,258.31471678236846,712.594664659174,68.35247480102517,95.15020818890498,2.8,0.6428571428571428,0.6091730907237826,1.6110027988841755,1.0,7.038591625346602
fish7,18.32,4752,237.6,20.0,20.0,10.437818116020816,3.7277921842931487,3.355012965863834,38.910016793975835,28.33122060062793,987,1942,434.6561805156944,258.3167740740352,712.7129545897296,68.35247480102517,95.15020818890498,2.8,0.6428571428571428,0.6091730907237826,1.6110027988841755,1.0,7.038591625346602
fish7,18.32,4754,237.7,20.0,20.0,10.437818116020816,3.7277921842931487,3.355012965863834,38.910016793975835,28.33122060062793,984,1931,434.6490450990277,258.32008136570187,712.6491264647295,68.35247480102517,95.15020818890498,2.8,0.6428571428571428,0.6091730907237826,1.6110027988841755,1.0,7.038591625346602
fish7,18.32,4756,237.8,20.0,20.0,10.37998375470215,3.7071370552507683,3.3364233497256914,38.48002240995734,28.17424161990584,997,2007,434.5799825990276,258.32390949070185,712.8438920897295,67.22256666596287,94.09870375558502,2.8,0.6428571428571428,0.6091730907237827,1.6380812824700903,1.0,6.999591860576797
fish7,18.32,4761,238.05,20.0,20.0,10.176872663120296,3.6345973796858204,3.2711376417172384,36.98883471477328,27.622940085612232,1017,2085,434.5428558629165,258.3330436052851,713.2158994682017,63.35313207378146,90.45216665957783,2.8,0.6428571428571428,0.6091730907237827,1.738130769712693,1.0,6.862626834712938
fish7,18.32,4763,238.15,20.0,20.0,10.437818116020816,3.7277921842931487,3.355012965863834,38.910016793975835,28.33122060062793,1028,2144,434.5051562101387,257.1512402198685,712.2163964300071,68.35247480102517,95.15020818890498,2.8,0.6428571428571428,0.6091730907237826,1.6110027988841755,1.0,7.038591625346602
fish7,18.32,4765,238.25,20.0,20.0,10.176872663120296,3.6345973796858204,3.2711376417172384,36.98883471477328,27.622940085612232,1019,2190,436.794019057361,257.1739811052851,714.3480001626461,63.35313207378146,90.45216665957783,2.8,0.6428571428571428,0.6091730907237827,1.738130769712693,1.0,6.862626834712938
fish7,18.32,4768,238.4,20.0,20.0,10.235928414479202,3.655688719456858,3.2901198475111726,37.419368037979545,27.78323426787212,1008,2379,436.76374996013874,257.1757258969518,714.0994758570905,64.46244723922696,91.50498900998294,2.8,0.6428571428571428,0.6091730907237827,1.7082197920047837,1.0,6.902450226184508
fish7,18.32,4782,239.1,20.0,20.0,10.698763568921336,3.8209869889004775,3.43888829001043,40.879836394170866,29.039501115643628,1009,2898,436.8064496129165,257.19554360528514,714.1819932182017,73.60813930877273,99.96718747846828,2.8,0.6428571428571428,0.6091730907237826,1.495976250033912,1.0,7.214556415980268
fish7,18.32,4784,239.2,20.0,20.0,10.437818116020816,3.7277921842931487,3.355012965863834,38.910016793975835,28.33122060062793,1001,2972,436.80380204347216,257.90651365736846,714.7303157008406,68.35247480102517,95.15020818890498,2.8,0.6428571428571428,0.6091730907237826,1.6110027988841755,1.0,7.038591625346602
fish7,18.32,5229,261.45,20.0,20.0,10.437818116020816,3.7277921842931487,3.355012965863834,38.910016793975835,28.33122060062793,986,1486,453.3821083610629,260.3158137937759,733.4179221548388,68.35247480102517,95.15020818890498,2.8,0.6428571428571428,0.6091730907237826,1.6110027988841755,1.0,7.038591625346602
fish7,18.32,5237,261.85,20.0,20.0,10.176872663120296,3.6345973796858204,3.2711376417172384,36.98883471477328,27.622940085612232,1002,1369,453.3007889166184,260.3210546791925,733.6618435958109,63.35313207378146,90.45216665957783,2.8,0.6428571428571428,0.6091730907237827,1.738130769712693,1.0,6.862626834712938
fish7,18.32,5240,262.0,20.0,20.0,10.437818116020816,3.7277921842931487,3.355012965863834,38.910016793975835,28.33122060062793,1041,1396,453.3125337082852,260.4708398354425,734.6033735437278,68.35247480102517,95.15020818890498,2.8,0.6428571428571428,0.6091730907237826,1.6110027988841755,1.0,7.038591625346602
fish7,18.32,5242,262.1,20.0,20.0,10.698763568921336,3.8209869889004775,3.43888829001043,40.879836394170866,29.039501115643628,1049,1399,453.3064399582851,260.4710481687759,734.757488127061,73.60813930877273,99.96718747846828,2.8,0.6428571428571428,0.6091730907237826,1.495976250033912,1.0,7.214556415980268
fish7,18.32,5245,262.25,20.0,20.0,10.698763568921336,3.8209869889004775,3.43888829001043,40.879836394170866,29.039501115643628,1052,1367,450.08815870828505,260.27099608544256,731.3991547937276,73.60813930877273,99.96718747846828,2.8,0.6428571428571428,0.6091730907237826,1.495976250033912,1.0,7.214556415980268
fish7,18.32,5283,264.15,20.0,20.0,10.959709021821856,3.9141817935078063,3.5227636141570255,42.89829351535836,29.747781630659325,1043,1074,442.3241434351603,262.4536457976871,725.6377892328475,79.12653364153675,104.90310452826775,2.8,0.6428571428571428,0.6091730907237827,1.3916447890155932,1.0,7.390521206613933
fish7,18.32,5286,264.3,20.0,20.0,10.959709021821856,3.9141817935078063,3.5227636141570255,42.89829351535836,29.747781630659325,1045,1074,442.3489785046049,262.45322913102046,725.7022076356253,79.12653364153675,104.90310452826775,2.8,0.6428571428571428,0.6091730907237827,1.3916447890155932,1.0,7.390521206613933
fish7,18.32,5307,265.35,20.0,20.0,10.437818116020816,3.7277921842931487,3.355012965863834,38.910016793975835,28.33122060062793,1051,1208,440.31622801361095,260.0422525363498,721.3784805499607,68.35247480102517,95.15020818890498,2.8,0.6428571428571428,0.6091730907237826,1.6110027988841755,1.0,7.038591625346602
fish7,18.32,5310,265.5,20.0,20.0,10.437818116020816,3.7277921842931487,3.355012965863834,38.910016793975835,28.33122060062793,1068,1207,440.4812019719443,260.04212883843314,721.8833308103775,68.35247480102517,95.15020818890498,2.8,0.6428571428571428,0.6091730907237826,1.6110027988841755,1.0,7.038591625346602
fish7,18.32,5311,265.55,20.0,20.0,10.437818116020816,3.7277921842931487,3.355012965863834,38.910016793975835,28.33122060062793,1061,1207,440.4960544024997,260.04212883843314,721.7581832409328,68.35247480102517,95.15020818890498,2.8,0.6428571428571428,0.6091730907237826,1.6110027988841755,1.0,7.038591625346602
