FishID,Weight (g),FrameIndex,Timestamp (s),FPS_Top,FPS_Front,Length (cm),Width (cm),Height (cm),Area (cm²),Perimeter (cm),TopMaskPixels,FrontMaskPixels,BlurTop,BlurFront,Score,VisScore_Top_Raw,VisScore_Front_Raw,VisScore_Top_Enhanced,VisScore_Front_Enhanced,Volume (cm³),Surface Area (cm²),Aspect Ratio,Elongation,Compactness,Condition Factor (K),Rectangularity,Equivalent Diameter (cm)
fish01,67.49,2620,131.0,20.0,20.0,16.593936215769475,5.926405791346241,5.333765212211617,98.34239969036634,45.04068401423143,2378,6446,27.59979035373264,10.294690678649475,85.45448103238212,87.1,65.2,65.5,50.1,274.6460253154176,240.485627489721,2.8,0.6428571428571428,0.6091730907237826,1.4770363345414719,1.0,11.189880795161557
fish01,67.49,2455,122.75,20.0,20.0,15.025700464652012,5.366321594518576,4.829689435066719,80.63274087622989,40.78404411834117,2675,3393,28.34730816507221,10.253994139766698,92.10130230483892,87.6,65.0,65.9,50.0,203.90564542794004,197.17858570554867,2.8,0.6428571428571428,0.6091730907237828,1.9894601626987773,1.0,10.132363706657953
fish01,67.49,3445,172.25,20.0,20.0,14.37574992792962,5.134196402832008,4.620776762548807,73.80792356798875,39.01989266152326,2698,7835,27.83432179512683,10.377369771152074,92.1716915662789,87.1,65.2,65.7,50.1,178.57333001485864,180.48923830257024,2.7999999999999994,0.6428571428571428,0.6091730907237827,2.271683898679129,1.0,9.694078966129464
fish01,67.49,3470,173.5,20.0,20.0,16.90776937729713,6.038489063320403,5.434640156988364,102.09738046995234,45.89251688123507,2901,7327,27.879976853189348,10.311923821502262,96.2119006746916,87.2,65.4,65.7,50.1,290.52533810032077,249.66802401282558,2.8,0.6428571428571428,0.6091730907237825,1.3963056068734023,1.0,11.401509646893906
fish01,67.49,3760,188.0,20.0,20.0,17.846177092519387,6.3736346758997815,5.7362712083098035,113.7450131491299,48.43962353683834,2623,9688,28.076074133677544,10.272259094068737,90.80833322774627,87.1,65.0,65.7,49.9,341.63366807874314,278.15104112895347,2.8,0.6428571428571428,0.6091730907237825,1.1874185609679657,1.0,12.034311312156307
fish01,67.49,2450,122.5,20.0,20.0,14.799891358536978,5.285675485191779,4.757107936672601,78.22742293732055,40.17113368745751,2512,3285,28.434048234934867,10.24361328086853,88.91766151580339,87.3,65.0,65.9,50.0,194.85010816665937,191.2966426609195,2.8,0.6428571428571428,0.6091730907237827,2.0819190830589505,1.0,9.980092603103392
fish01,67.49,2410,120.5,20.0,20.0,14.020949708087665,5.007482038602737,4.506733834742464,70.20965382740128,38.0568634933808,2575,4219,28.24938750796848,10.252900260066982,90.00228776803546,87.5,65.3,66.1,49.7,165.67514664352785,171.69006155716875,2.8,0.6428571428571428,0.6091730907237828,2.448539607459077,1.0,9.45482457136111
fish01,67.49,1820,91.0,20.0,20.0,16.825521775163907,6.009114919701395,5.408203427731256,101.10649393089814,45.669273389730606,2406,13231,28.07339378858024,10.477594270483657,86.6709880590639,87.3,65.6,65.9,50.3,286.30615990735635,247.2449189038813,2.8,0.6428571428571428,0.6091730907237827,1.4168823984071242,1.0,11.346047166407569
fish01,67.49,2440,122.0,20.0,20.0,15.189362183761634,5.424772208486298,4.8822949876376684,82.39882983910286,41.22826878449587,2813,3465,28.27028114735168,10.241461457983654,94.77174260533532,87.3,65.1,66.0,49.8,210.64137568045743,201.49736391084377,2.8,0.6428571428571428,0.6091730907237826,1.9258427135590748,1.0,10.242726618974533
fish01,67.49,2470,123.5,20.0,20.0,15.850073741858168,5.660740622092203,5.094666559882983,89.7231562936935,43.02162872790074,3025,3954,28.280810793257345,10.286770833163787,99.06758162642112,87.5,65.1,66.0,49.9,239.34200803338211,219.40820652722894,2.8,0.6428571428571428,0.6091730907237828,1.6949058038808182,1.0,10.688267898569167
fish01,67.49,1815,90.75,20.0,20.0,17.22733590641871,6.1526199665781105,5.5373579699203,105.99325086877975,46.75991174599364,2435,13174,28.064682383426614,10.44298811302185,87.20767049644847,87.3,65.5,65.9,50.3,307.31194030896506,259.19495075480563,2.8,0.6428571428571428,0.6091730907237825,1.3200338331157075,1.0,11.6170047121091
fish01,67.49,2445,122.25,20.0,20.0,14.970394787356376,5.346569566912992,4.811912610221693,80.0402571747525,40.63392870853873,2832,3478,28.162051726447203,10.249934694035847,95.05198642048305,87.2,65.1,65.9,49.8,201.66235249664683,195.72973134389144,2.8,0.6428571428571428,0.6091730907237828,2.011590926645636,1.0,10.09506912337242
fish01,67.49,1805,90.25,20.0,20.0,17.50475126373224,6.2516968799043715,5.626527191913935,109.43439885897693,47.51289628727322,2785,12370,28.15839334370177,10.433469894366796,94.29186323806856,87.4,65.7,65.9,50.3,322.3984172011474,267.60990337252815,2.8,0.6428571428571428,0.6091730907237827,1.2582634928854888,1.0,11.804075744486308
fish01,67.49,1810,90.5,20.0,20.0,17.961420901155197,6.414793178984,5.7733138610856,115.218800281591,48.75242816027839,2634,12949,28.161357775860072,10.448730331039432,91.2900881068995,87.4,65.7,65.9,50.2,348.2949192993242,281.7550270440023,2.8,0.6428571428571428,0.6091730907237827,1.1647088029430692,1.0,12.112024307086928
fish01,67.49,3475,173.75,20.0,20.0,17.270076906403688,6.167884609429889,5.5510961484869,106.51984155467785,46.875923031667156,3031,7038,27.84334512922499,10.310758462259509,98.7741035914845,87.1,65.4,65.7,50.1,309.604941524495,260.4826709235951,2.8,0.6428571428571428,0.6091730907237826,1.3102573768066748,1.0,11.645826487044177
fish13,13.88,1275,63.75,20.0,20.0,9.340175810156516,3.335777075055899,3.0021993675503094,31.156744344511768,25.351905770424832,1442,736,25.226296518113877,9.46530921723048,63.53160573534436,86.7,62.4,65.4,48.5,48.9767792467134,76.19042486066891,2.8,0.6428571428571428,0.6091730907237827,1.703430084148373,1.0,6.29841241779514
fish13,13.88,1350,67.5,20.0,20.0,9.313383199504775,3.3262082855374198,2.993587456983678,30.978252364577788,25.279182970084392,1438,1796,24.707246034673997,9.390729157129924,62.85797519180392,86.3,62.2,65.4,48.4,48.55651245483131,75.75394216417733,2.8,0.6428571428571428,0.6091730907237826,1.7181736285354703,1.0,6.280345208455185
