FishID,FrameIndex,Timestamp (s),FPS_Top,FPS_Front,Weight (g),Length (cm),Width (cm),Height (cm),Area (cm²),Perimeter (cm),TopMaskPixels,FrontMaskPixels,BlurTop,BlurFront,Score
fish11,5572,278.6,20.0,20.0,13.0,8.972087742059006,5.542965635557481,5.333333333333333,37.64694728858551,24.38447136951444,1994,304,451.03065749300725,251.32250318568543,742.2331606786927
fish11,5579,278.95,20.0,20.0,13.0,8.972087742059006,5.542965635557481,5.333333333333333,37.64694728858551,24.38447136951444,6192,310,437.10332255128463,252.5615559315576,813.5048784828422
fish11,5648,282.4,20.0,20.0,13.0,8.972087742059006,5.542965635557481,5.333333333333333,37.64694728858551,24.38447136951444,836,1353,433.6893332029554,259.310091133584,709.7194243365394
fish11,5658,282.9,20.0,20.0,13.0,8.972087742059006,5.542965635557481,5.333333333333333,37.64694728858551,24.38447136951444,832,1273,431.8716464987673,259.3551659494929,707.8668124482602
fish11,5659,282.95,20.0,20.0,13.0,8.972087742059006,5.542965635557481,5.333333333333333,37.64694728858551,24.38447136951444,1033,1273,431.8942055134903,257.6504816232893,710.2046871367796
fish11,5677,283.85,20.0,20.0,13.0,8.972087742059006,5.542965635557481,5.333333333333333,37.64694728858551,24.38447136951444,674,315,432.390043052372,257.9450777424707,703.8151207948426
fish11,5690,284.5,20.0,20.0,13.0,8.972087742059006,5.542965635557481,5.333333333333333,37.64694728858551,24.38447136951444,264,1071,432.19139744193,259.6531996345413,697.1245970764712
fish11,5691,284.55,20.0,20.0,13.0,8.972087742059006,5.542965635557481,5.333333333333333,37.64694728858551,24.38447136951444,250,579,432.0337064697077,259.7091370813052,696.7428435510129
fish11,5910,295.5,20.0,20.0,13.0,8.972087742059006,5.542965635557481,5.333333333333333,37.64694728858551,24.38447136951444,5703,660,416.480797759162,251.56065743747288,782.1014551966348
fish11,5913,295.65,20.0,20.0,13.0,8.972087742059006,5.542965635557481,5.333333333333333,37.64694728858551,24.38447136951444,5510,1504,416.30251305692695,251.6665266558224,778.1690397127494
fish11,5927,296.35,20.0,20.0,13.0,8.972087742059006,5.542965635557481,5.333333333333333,37.64694728858551,24.38447136951444,4786,1005,425.80588564858135,249.51508787764445,771.0409735262258
fish11,5933,296.65,20.0,20.0,13.0,8.972087742059006,5.542965635557481,5.333333333333333,37.64694728858551,24.38447136951444,4288,257,425.9514500242447,249.5783723551008,761.2898223793454
fish11,5935,296.75,20.0,20.0,13.0,8.972087742059006,5.542965635557481,5.333333333333333,37.64694728858551,24.38447136951444,4166,386,425.7629645175509,249.593707637522,758.6766721550729
fish11,6335,316.75,20.0,20.0,13.0,8.972087742059006,5.542965635557481,5.333333333333333,37.64694728858551,24.38447136951444,798,2888,422.8526459411621,233.67917966698545,672.4918256081476
fish11,6496,324.8,20.0,20.0,13.0,8.972087742059006,5.542965635557481,5.333333333333333,37.64694728858551,24.38447136951444,335,1240,386.25804437903895,244.36577451371087,637.3238188927498
fish11,6497,324.85,20.0,20.0,13.0,8.972087742059006,5.542965635557481,5.333333333333333,37.64694728858551,24.38447136951444,346,1266,423.1051103237577,244.43464189143705,674.4597522151947
fish11,6510,325.5,20.0,20.0,13.0,8.972087742059006,5.542965635557481,5.333333333333333,37.64694728858551,24.38447136951444,427,1532,413.0436614535108,245.87155273309287,667.4552141866036
fish11,6517,325.85,20.0,20.0,13.0,8.972087742059006,5.542965635557481,5.333333333333333,37.64694728858551,24.38447136951444,437,1864,423.1528498100939,245.95743488629668,677.8502846963906
fish11,6524,326.2,20.0,20.0,13.0,8.972087742059006,5.542965635557481,5.333333333333333,37.64694728858551,24.38447136951444,508,1674,422.8684878879122,244.33828118218312,677.3667690700953
fish11,6532,326.6,20.0,20.0,13.0,8.972087742059006,5.542965635557481,5.333333333333333,37.64694728858551,24.38447136951444,493,552,422.6868080028205,244.54580722384983,677.0926152266703
fish11,6534,326.7,20.0,20.0,13.0,8.972087742059006,5.542965635557481,5.333333333333333,37.64694728858551,24.38447136951444,488,216,422.67301909239967,244.5626562038422,676.9956752962419
fish11,6803,340.15,20.0,20.0,13.0,8.972087742059006,5.542965635557481,5.333333333333333,37.64694728858551,24.38447136951444,544,336,440.4933995801384,243.8858267964256,695.259226376564
fish11,6809,340.45,20.0,20.0,13.0,8.972087742059006,5.542965635557481,5.333333333333333,37.64694728858551,24.38447136951444,553,362,440.2923058301385,243.88119789017563,695.233503720314
fish11,6819,340.95,20.0,20.0,13.0,8.972087742059006,5.542965635557481,5.333333333333333,37.64694728858551,24.38447136951444,526,412,439.238959366391,247.38474606725904,697.14370543365
fish11,6827,341.35,20.0,20.0,13.0,8.972087742059006,5.542965635557481,5.333333333333333,37.64694728858551,24.38447136951444,524,412,439.0671841769748,247.73512367142567,697.2823078484005
fish11,6834,341.7,20.0,20.0,13.0,8.972087742059006,5.542965635557481,5.333333333333333,37.64694728858551,24.38447136951444,527,412,438.778881241391,247.73449867142563,697.0533799128166
fish11,6838,341.9,20.0,20.0,13.0,8.972087742059006,5.542965635557481,5.333333333333333,37.64694728858551,24.38447136951444,515,325,438.6603786214193,247.72872393184235,696.6891025532616
fish11,6851,342.55,20.0,20.0,13.0,8.972087742059006,5.542965635557481,5.333333333333333,37.64694728858551,24.38447136951444,389,474,437.20003646961726,246.582529259989,691.5625657296063
fish11,6857,342.85,20.0,20.0,13.0,8.972087742059006,5.542965635557481,5.333333333333333,37.64694728858551,24.38447136951444,450,479,436.9733739871932,246.5843717079057,692.5577456950989
fish11,6862,343.1,20.0,20.0,13.0,8.972087742059006,5.542965635557481,5.333333333333333,37.64694728858551,24.38447136951444,445,481,438.6836731861067,244.53538733290569,692.1190605190124
fish11,6867,343.35,20.0,20.0,13.0,8.972087742059006,5.542965635557481,5.333333333333333,37.64694728858551,24.38447136951444,406,450,438.6568849613709,244.5476204058224,691.3245053671932
fish11,6875,343.75,20.0,20.0,13.0,8.972087742059006,5.542965635557481,5.333333333333333,37.64694728858551,24.38447136951444,341,429,438.6608215169271,244.5499250933224,690.0307466102496
fish11,6883,344.15,20.0,20.0,13.0,8.972087742059006,5.542965635557481,5.333333333333333,37.64694728858551,24.38447136951444,356,414,436.8983388780383,246.54883134332232,690.5671702213606
fish11,7201,360.05,20.0,20.0,13.0,8.972087742059006,5.542965635557481,5.333333333333333,37.64694728858551,24.38447136951444,558,214,442.0429661988812,241.58769199768705,694.7906581965682
fish12,38,1.9,20.0,20.0,15.28,63.6350287532929,9.71645647277457,18.53333333333333,528.4129692832763,184.0136856967302,29078,245,407.8631552727593,247.1920702107324,1236.6152254834917
fish12,48,2.4,20.0,20.0,15.28,63.6350287532929,9.71645647277457,18.53333333333333,528.4129692832763,184.0136856967302,23701,11436,407.68547233675736,251.31474934767613,1133.0202216844334
fish12,321,16.05,20.0,20.0,15.28,63.6350287532929,9.71645647277457,18.53333333333333,528.4129692832763,184.0136856967302,13649,1198,425.956101736111,236.4284569980196,935.3645587341306
fish12,332,16.6,20.0,20.0,15.28,63.6350287532929,9.71645647277457,18.53333333333333,528.4129692832763,184.0136856967302,12218,738,428.27832782508005,237.99828433429929,910.6366121593792
fish12,344,17.2,20.0,20.0,15.28,63.6350287532929,9.71645647277457,18.53333333333333,528.4129692832763,184.0136856967302,4109,1412,423.644955766466,238.4197912082248,744.2447469746908
fish12,354,17.7,20.0,20.0,15.28,63.6350287532929,9.71645647277457,18.53333333333333,528.4129692832763,184.0136856967302,3120,1484,420.886616413917,247.9586327690972,731.2452491830142
fish12,362,18.1,20.0,20.0,15.28,63.6350287532929,9.71645647277457,18.53333333333333,528.4129692832763,184.0136856967302,3018,941,421.00946392956,247.0954621961806,728.4649261257406
fish12,365,18.25,20.0,20.0,15.28,63.6350287532929,9.71645647277457,18.53333333333333,528.4129692832763,184.0136856967302,1343,759,420.8984916027492,247.0725585503472,694.8310501530965
fish12,380,19.0,20.0,20.0,15.28,63.6350287532929,9.71645647277457,18.53333333333333,528.4129692832763,184.0136856967302,1261,241,421.29862268652266,247.72794591012536,694.2465685966481
fish12,391,19.55,20.0,20.0,15.28,63.6350287532929,9.71645647277457,18.53333333333333,528.4129692832763,184.0136856967302,1476,271,420.50262307579135,247.53508454178703,697.5577076175783
fish12,431,21.55,20.0,20.0,15.28,63.6350287532929,9.71645647277457,18.53333333333333,528.4129692832763,184.0136856967302,826,217,428.7431288876946,254.57422498914937,699.837353876844
fish12,440,22.0,20.0,20.0,15.28,63.6350287532929,9.71645647277457,18.53333333333333,528.4129692832763,184.0136856967302,852,1003,428.782008971697,254.76192014906132,700.5839291207583
fish12,450,22.5,20.0,20.0,15.28,63.6350287532929,9.71645647277457,18.53333333333333,528.4129692832763,184.0136856967302,869,1520,427.2096160040961,259.9477473551009,704.537363359197
fish12,455,22.75,20.0,20.0,15.28,63.6350287532929,9.71645647277457,18.53333333333333,528.4129692832763,184.0136856967302,843,1520,426.1386391456699,259.8567512613509,702.8553904070208
fish12,468,23.4,20.0,20.0,15.28,63.6350287532929,9.71645647277457,18.53333333333333,528.4129692832763,184.0136856967302,850,1520,424.2848723332722,258.4349608967675,699.7198332300397
fish12,470,23.5,20.0,20.0,15.28,63.6350287532929,9.71645647277457,18.53333333333333,528.4129692832763,184.0136856967302,850,1520,424.4935268703696,258.4352994384342,699.9288263088038
fish12,483,24.15,20.0,20.0,15.28,63.6350287532929,9.71645647277457,18.53333333333333,528.4129692832763,184.0136856967302,1040,1597,412.3636742983029,257.15235673010085,690.3160310284036
fish12,497,24.85,20.0,20.0,15.28,63.6350287532929,9.71645647277457,18.53333333333333,528.4129692832763,184.0136856967302,904,1340,419.3999241263495,257.34913073347934,694.829054859829
fish12,498,24.9,20.0,20.0,15.28,63.6350287532929,9.71645647277457,18.53333333333333,528.4129692832763,184.0136856967302,905,1340,419.1024414874608,258.6635382855627,695.8659797730235
fish12,508,25.4,20.0,20.0,15.28,63.6350287532929,9.71645647277457,18.53333333333333,528.4129692832763,184.0136856967302,939,1389,424.2701974494086,253.6843651084793,696.7345625578879
fish12,525,26.25,20.0,20.0,15.28,63.6350287532929,9.71645647277457,18.53333333333333,528.4129692832763,184.0136856967302,818,1256,422.0507223714005,257.4092023480627,695.8199247194633
fish12,534,26.7,20.0,20.0,15.28,63.6350287532929,9.71645647277457,18.53333333333333,528.4129692832763,184.0136856967302,825,1246,421.9730574408449,257.4115851605627,695.8846426014077
fish12,539,26.95,20.0,20.0,15.28,63.6350287532929,9.71645647277457,18.53333333333333,528.4129692832763,184.0136856967302,865,1246,421.64135172526034,256.7753221397293,695.7166738649896
fish12,549,27.45,20.0,20.0,15.28,63.6350287532929,9.71645647277457,18.53333333333333,528.4129692832763,184.0136856967302,899,1753,426.7245388090158,257.7030304776403,702.4075692866561
fish12,555,27.75,20.0,20.0,15.28,63.6350287532929,9.71645647277457,18.53333333333333,528.4129692832763,184.0136856967302,872,1753,425.39507694762426,257.7022492276403,700.5373261752646
fish12,565,28.25,20.0,20.0,15.28,63.6350287532929,9.71645647277457,18.53333333333333,528.4129692832763,184.0136856967302,793,1856,427.168722330051,256.6508429776403,699.6795653076914
fish12,581,29.05,20.0,20.0,15.28,63.6350287532929,9.71645647277457,18.53333333333333,528.4129692832763,184.0136856967302,624,1756,425.32723322872585,256.4804718838903,694.2877051126161
