FishID,Weight (g),FrameIndex,Timestamp (s),FPS_Top,FPS_Front,Length (cm),Width (cm),Height (cm),Area (cm²),Perimeter (cm),TopMaskPixels,FrontMaskPixels,BlurTop,BlurFront,Score,_Truth_Length (cm),Width_truth (cm),Area_truth (cm²),Perimeter_truth (cm),_AbsError_Length (cm),_SelectionMode
fish10,17.7,9872,493.6,20.0,20.0,19.89758612047624,10.286070777513933,6.133333333333333,151.9529768676526,49.96546725482925,2791,1751,426.5430511623617,250.1198076946577,732.4828588570196,17.9943701171875,4.2684716796875,49.3518,41.10669091224671,1.9032160032887404,fallback
fish10,17.7,9873,493.65,20.0,20.0,20.05774749906985,9.931506043228762,5.733333333333333,149.07091391733027,49.83666705526035,2754,1693,426.53740880893656,250.1602340830061,731.7776428919427,17.9943701171875,4.2684716796875,49.3518,41.10669091224671,2.0633773818823506,fill
fish10,17.7,9874,493.7,20.0,20.0,20.05774749906985,9.931506043228762,5.866666666666666,149.18467956010616,49.84444699291405,2769,1557,426.7464886736647,250.4730726521385,732.5995613258032,17.9943701171875,4.2684716796875,49.3518,41.10669091224671,2.0633773818823506,fill
fish10,17.7,9875,493.75,20.0,20.0,20.147977838721125,9.781957857536732,5.866666666666666,147.7815699658703,49.7276596210249,2753,1361,426.9002126478216,250.40867484867312,732.3688874964946,17.9943701171875,4.2684716796875,49.3518,41.10669091224671,2.153607721533625,fill
fish10,17.7,9876,493.8,20.0,20.0,20.224909558695483,9.634534241852302,5.733333333333333,146.454304133485,49.64002194392529,2741,1366,426.7998654197223,250.49297172367312,732.1128371433955,17.9943701171875,4.2684716796875,49.3518,41.10669091224671,2.2305394415079824,fill
fish10,17.7,9877,493.85,20.0,20.0,20.224909558695483,9.634534241852302,5.333333333333333,146.454304133485,49.64002194392529,2730,1328,414.9438107337481,250.5201006568802,720.0639113906283,17.9943701171875,4.2684716796875,49.3518,41.10669091224671,2.2305394415079824,fill
fish10,17.7,9883,494.15,20.0,20.0,19.939680835179196,9.516167463876654,4.933333333333334,143.74288964732648,49.36494769933167,2833,968,415.2300043086111,251.0718487004598,722.9618530090709,17.9943701171875,4.2684716796875,49.3518,41.10669091224671,1.9453107179916955,fallback
fish11,13.0,1906,95.3,20.0,20.0,20.04110899591246,7.822375568163434,18.53333333333333,129.52218430034128,48.81799098658109,1232,10012,440.6399493769705,248.71205402347783,713.9920034004483,19.23323974609375,1.5341293334960937,20.021,40.0114509677887,0.8078692498187081,within
fish11,13.0,1911,95.55,20.0,20.0,20.10703009467962,7.853242747518549,7.333333333333333,132.85930982176714,49.53600859563535,1278,4323,450.2234901596069,246.3011230430497,722.0846132026566,19.23323974609375,1.5341293334960937,20.021,40.0114509677887,0.8737903485858673,within
fish11,13.0,1912,95.6,20.0,20.0,20.34747050529452,7.7933001590385,8.266666666666666,132.91619264315509,49.73511026425597,1268,3025,450.0919280209953,246.34325194650236,721.7951799674976,19.23323974609375,1.5341293334960937,20.021,40.0114509677887,1.114230759200769,within
fish11,13.0,1913,95.65,20.0,20.0,20.26977810011465,7.867888909151333,7.733333333333333,133.4470989761092,49.85494392875052,1266,2881,450.07883682362126,246.47380205010307,721.8726388737244,19.23323974609375,1.5341293334960937,20.021,40.0114509677887,1.0365383540208981,within
fish11,13.0,1914,95.7,20.0,20.0,19.923176046218085,7.867888909151333,6.666666666666667,132.42320819112626,49.52544598662851,1240,2499,449.9126480780519,246.54163084156244,721.2542789196143,19.23323974609375,1.5341293334960937,20.021,40.0114509677887,0.6899363001243337,within
fish11,13.0,1915,95.75,20.0,20.0,20.51777781995937,7.896757804128676,7.2,138.79408418657562,50.747296876561286,1333,2328,449.7456823772666,246.58788730365967,722.9935696809263,19.23323974609375,1.5341293334960937,20.021,40.0114509677887,1.284538073865619,within
fish11,13.0,1917,95.85,20.0,20.0,20.36726169205759,7.867888909151333,6.8,135.53280242700035,50.22460114222712,1349,1957,449.8878095159836,247.1000617794354,723.967871295419,19.23323974609375,1.5341293334960937,20.021,40.0114509677887,1.1340219459638377,within
fish11,13.0,1918,95.9,20.0,20.0,19.96412081883301,7.971561982668853,6.4,128.1190747061054,49.04963943343346,1270,1757,449.41907281492246,246.92555658102037,721.7446293959428,19.23323974609375,1.5341293334960937,20.021,40.0114509677887,0.7308810727392583,within
fish11,13.0,1927,96.35,20.0,20.0,20.63993316682968,7.9250376137857295,3.8666666666666663,141.50549867273415,51.00363753011306,1523,392,444.2114945452466,248.50909496239552,723.1805895076421,19.23323974609375,1.5341293334960937,20.021,40.0114509677887,1.4066934207359303,within
fish11,13.0,2044,102.2,20.0,20.0,19.02992510079364,5.01277361873704,2.2666666666666666,83.21956769055744,43.802747578424494,1174,399,439.8996864149305,246.50496418888312,709.8846506038136,19.23323974609375,1.5341293334960937,20.021,40.0114509677887,0.2033146453001109,within
fish12,15.28,355,17.75,20.0,20.0,19.54028247373722,9.750306964420076,6.533333333333333,141.4106939704209,49.09499863166732,1777,1192,420.257586714662,248.3632291232639,704.1608158379258,19.19973022460937,1.5228977966308594,20.271,40.02540238380432,0.34055224912784965,within
fish12,15.28,355,17.75,20.0,20.0,19.54028247373722,9.750306964420076,6.533333333333333,141.4106939704209,49.09499863166732,1777,1192,420.257586714662,248.3632291232639,704.1608158379258,19.19973022460937,1.5228977966308594,20.271,40.02540238380432,0.34055224912784965,repeat
fish12,15.28,355,17.75,20.0,20.0,19.54028247373722,9.750306964420076,6.533333333333333,141.4106939704209,49.09499863166732,1777,1192,420.257586714662,248.3632291232639,704.1608158379258,19.19973022460937,1.5228977966308594,20.271,40.02540238380432,0.34055224912784965,repeat
fish12,15.28,355,17.75,20.0,20.0,19.54028247373722,9.750306964420076,6.533333333333333,141.4106939704209,49.09499863166732,1777,1192,420.257586714662,248.3632291232639,704.1608158379258,19.19973022460937,1.5228977966308594,20.271,40.02540238380432,0.34055224912784965,repeat
fish12,15.28,355,17.75,20.0,20.0,19.54028247373722,9.750306964420076,6.533333333333333,141.4106939704209,49.09499863166732,1777,1192,420.257586714662,248.3632291232639,704.1608158379258,19.19973022460937,1.5228977966308594,20.271,40.02540238380432,0.34055224912784965,repeat
fish12,15.28,355,17.75,20.0,20.0,19.54028247373722,9.750306964420076,6.533333333333333,141.4106939704209,49.09499863166732,1777,1192,420.257586714662,248.3632291232639,704.1608158379258,19.19973022460937,1.5228977966308594,20.271,40.02540238380432,0.34055224912784965,repeat
fish12,15.28,355,17.75,20.0,20.0,19.54028247373722,9.750306964420076,6.533333333333333,141.4106939704209,49.09499863166732,1777,1192,420.257586714662,248.3632291232639,704.1608158379258,19.19973022460937,1.5228977966308594,20.271,40.02540238380432,0.34055224912784965,repeat
fish12,15.28,355,17.75,20.0,20.0,19.54028247373722,9.750306964420076,6.533333333333333,141.4106939704209,49.09499863166732,1777,1192,420.257586714662,248.3632291232639,704.1608158379258,19.19973022460937,1.5228977966308594,20.271,40.02540238380432,0.34055224912784965,repeat
fish12,15.28,355,17.75,20.0,20.0,19.54028247373722,9.750306964420076,6.533333333333333,141.4106939704209,49.09499863166732,1777,1192,420.257586714662,248.3632291232639,704.1608158379258,19.19973022460937,1.5228977966308594,20.271,40.02540238380432,0.34055224912784965,repeat
